Product_Name,Brand,Category,MRP,Selling_Price,Discount_Percent,Rating,Rating_Count,Review_Count,Pack_Size,In_Stock,Product_URL,Scraped_Date,Price_Range
Orimii Bump Hydrating Body Butter for Reducing Stretch Marks - Pregnancy Safe,Orimii,Baby,695.0,660.0,5.0,4.4,421.0,71.0,100ml,In Stock,https://www.nykaa.com/orimii-bump-hydrating-whipped-butter-for-pregnancy-stretch-marks/p/10773982?productId=10773982&pps=1,2026-09-14,₹500–₹999
"Orimii Belly Treatment Elixir - Body Oil For Stretch Marks; Fragrance Free, Pregnancy Safe",Orimii,Baby,695.0,660.0,5.0,4.3,348.0,61.0,100ml,In Stock,https://www.nykaa.com/orimii-belly-treatment-elixir/p/10773989?productId=10773989&pps=2,2026-09-14,₹500–₹999
Orimii Bump Hydrating Stretch Marks Cream and Oil For Women - Pregnancy Safe,Orimii,Baby,1390.0,1251.0,10.0,4.3,1545.0,137.0,2 pcs,In Stock,https://www.nykaa.com/orimii-bump-hydrating-stretch-marks-cream-and-oil-for-women-pregnancy-safe/p/16396197?productId=16396197&pps=3,2026-09-14,"₹1,000–₹1,999"
Orimii Mother Like No Other Gift Box – Baby Shower Special Gift & Pamper Set for Pregnant & New Moms,Orimii,Baby,1985.0,1886.0,5.0,4.6,25.0,1.0,245ml,In Stock,https://www.nykaa.com/orimii-skincare-gift-set-for-mom-safe/p/16159144?productId=16159144&pps=4,2026-09-14,"₹1,000–₹1,999"
"Orimii Face Moisturizer with Ceramide For Skin Barrier Repair - Fragrance Free, Non-Comedogenic",Orimii,Baby,395.0,375.0,5.0,4.3,150.0,22.0,50ml,In Stock,https://www.nykaa.com/orimii-babysoft-ceramide-moisturiser/p/16275885?productId=16275885&pps=5,2026-09-14,Below ₹500
Orimii Sleeping Face Mask for Overnight Skin Repair - Non Comedogenic Night Cream,Orimii,Baby,495.0,470.0,5.0,4.1,111.0,18.0,100ml,In Stock,https://www.nykaa.com/orimii-overnight-reset-facial-mask/p/12588096?productId=12588096&pps=6,2026-09-14,Below ₹500
"Orimii Soap Free Gentle Cleansing Face Wash for Oil & Acne Control -Non Comedogenic, Pregnancy Safe",Orimii,Baby,495.0,470.0,5.0,4.3,106.0,26.0,100ml,In Stock,https://www.nykaa.com/orimii-soap-free-gentle-facial-cleanser/p/10773984?productId=10773984&pps=7,2026-09-14,Below ₹500
"Orimii 3% Vitamin C Face Serum with SPF 15 for Glowing Skin - Non Comedogenic, Pregnancy Safe",Orimii,Baby,595.0,565.0,5.0,4.3,64.0,19.0,30ml,In Stock,https://www.nykaa.com/orimii-3percent-vitamin-c-face-serum-with-spf-15-for-glowing-skin/p/16159143?productId=16159143&pps=8,2026-09-14,₹500–₹999
"Orimii No Salicylic Clarifying Face Serum For Acne Control - Non Comedogenic, Pregnancy Safe",Orimii,Baby,695.0,660.0,5.0,4.6,62.0,24.0,30ml,In Stock,https://www.nykaa.com/orimii-0percent-salicylic-acid-face-serum-for-acne-defense/p/10773988?productId=10773988&pps=9,2026-09-14,₹500–₹999
"Orimii Under Eye Cream for Dark Circles/Vit C-Fragrance Free, Non Comedogenic, Pregnancy Safe",Orimii,Baby,495.0,470.0,5.0,4.1,66.0,10.0,15ml,In Stock,https://www.nykaa.com/orimii-aqua-surge-eye-refresh-gel/p/10773990?productId=10773990&pps=10,2026-09-14,Below ₹500
Chicco Baby Moments Mild Bodywash Protect,Chicco,Baby,559.0,475.0,15.0,4.4,361.0,21.0,500ml,In Stock,https://www.nykaa.com/chicco-baby-moments-mild-bodywash-protect/p/5069647?productId=5069647&pps=11,2026-09-14,Below ₹500
"Orimii Niacinamide Face Serum with Kakadu Plum For Pigmentation, Dark Spots - Fragrance Free",Orimii,Baby,595.0,565.0,5.0,4.7,68.0,23.0,30ml,In Stock,https://www.nykaa.com/orimii-skin-toning-niacinamide-serum/p/12588099?productId=12588099&pps=12,2026-09-14,₹500–₹999
O.P.I Dry Drip Lacquer Drying Drops,O.P.I,Baby,1100.0,935.0,15.0,4.3,82.0,11.0,8ml,In Stock,https://www.nykaa.com/o-p-i-nail-polish-and-nail-lacquer-drying-drops/p/690419?productId=690419&pps=13,2026-09-14,₹500–₹999
Orimii Leg & Foot Massage Heat Gel For Pain Relief With Natural Oils - Pregnancy Safe,Orimii,Baby,895.0,850.0,5.0,4.1,36.0,5.0,45ml,In Stock,https://www.nykaa.com/orimii-leg-foot-massage-heat-therapy-gel/p/10773987?productId=10773987&pps=14,2026-09-14,₹500–₹999
