Product_Name,Brand,Category,MRP,Selling_Price,Discount_Percent,Rating,Rating_Count,Review_Count,Pack_Size,In_Stock,Product_URL,Scraped_Date,Price_Range
Beautywise Skin Brilliance Glutathione Dual Action for Skin Brightening and Glow Capsules,Beautywise,Healthcare,2899,2261,22,4.5,1672,334,60 Capsules,In Stock,https://www.nykaa.com/beautywise-skin-brilliance-capsules/p/15963105?productId=15963105&pps=1,2026-09-14,"₹2,000+"
"Be Bodywise Biotin Hair Gummies - Zinc, Fibre, Multivitamin For Stronger Hair, Nails -No Added Sugar",Be Bodywise,Healthcare,999,849,15,4.3,12264,529,60 gummies,In Stock,https://www.nykaa.com/be-bodywise-biotin-hair-gummies-zinc-fibre-multivitamin-for-stronger-hair-nails-no-added-sugar/p/16576533?productId=16576533&pps=2,2026-09-14,₹500–₹999
"Be Bodywise Biotin Hair Gummies - Zinc, Fibre, Multivitamin For Stronger Hair, Nails -No Added Sugar",Be Bodywise,Healthcare,549,549,0,4.3,12264,529,30 gummies,In Stock,https://www.nykaa.com/be-bodywise-biotin-hair-gummies-zinc-fibre-multivitamin-for-stronger-hair-nails-no-added-sugar/p/16576533?productId=16576533&skuId=16576532&pps=3,2026-09-14,₹500–₹999
"HealthKart HK Vitals Skin Radiance Collagen Supplement Vitamin C, E, Sodium Hyaluronate - Orange",HealthKart,Healthcare,975,909,7,4.2,10121,332,200g,In Stock,https://www.nykaa.com/healthkart-hk-vitals-skin-radiance-collagen-supplement-with-biotin-orange/p/8660231?productId=8660231&pps=4,2026-09-14,₹500–₹999
hoop Magnesium Sleep Body Lotion Topical Magnesium Supplement For Recovery With Lavender Oil,hoop,Healthcare,680,520,24,4.4,359,52,250ml,In Stock,https://www.nykaa.com/hoop-magnesium-sleep-body-lotion/p/16911928?productId=16911928&pps=5,2026-09-14,₹500–₹999
HealthKart Hk Vitals Multivitamin + Fish Oil,HealthKart,Healthcare,669,489,27,4.0,83,5,60tablets,In Stock,https://www.nykaa.com/healthkart-hk-vitals-multivitamin-fish-oil/p/24074351?productId=24074351&pps=6,2026-09-14,Below ₹500
"Plix Apple Cider Vinegar Effervescent Tablets with Vitamin B6 & B12, Pack of 4 - Watermelon",Plix,Healthcare,1245,1071,14,4.3,735,35,60 Tablets,In Stock,https://www.nykaa.com/plix-world-s-first-acv-juicy-watermelon-with-vitamin-b12-effervescent-tablets-pack-of-4/p/6541017?productId=6541017&pps=7,2026-09-14,"₹1,000–₹1,999"
Be Bodywise Collagen Builder Gummies Vitamins For Skin Nourishes & Cleanses Skin,Be Bodywise,Healthcare,999,449,55,4.2,1376,114,60 gummies,In Stock,https://www.nykaa.com/be-bodywise-collagen-skin-gummies/p/4906321?productId=4906321&pps=8,2026-09-14,Below ₹500
Beautywise Skin Brilliance Glutathione Dual Action for Skin Brightening and Glow Capsules,Beautywise,Healthcare,1699,1359,20,4.5,1672,334,30 capsules,In Stock,https://www.nykaa.com/beautywise-skin-brilliance-capsules/p/15963105?productId=15963105&skuId=15063624&pps=9,2026-09-14,"₹1,000–₹1,999"
"Kapiva Wild Amla Juice (Cold Pressed)Suitable for Healthy Hair & Skin,Vitamin C Organic juice",Kapiva Ayurveda,Healthcare,280,233,17,4.4,1206,137,1L,In Stock,https://www.nykaa.com/kapiva-ayurveda-amla-juice/p/513896?productId=513896&pps=10,2026-09-14,Below ₹500
Krishna's Herbal & Ayurveda Shapefix Juice,Krishna's Herbal & Ayurveda,Healthcare,530,530,0,4.2,174,9,1000ml,In Stock,https://www.nykaa.com/krishna-s-herbal-ayurveda-shapefix-juice/p/24989817?productId=24989817&pps=11,2026-09-14,₹500–₹999
What's Up Wellness Daily Burner Weight Loss Capsules - CarbBliss & Apple Cider Vinegar,What's Up Wellness,Healthcare,699,599,14,4.2,128,4,30 pcs,In Stock,https://www.nykaa.com/what-s-up-wellness-daily-burner-capsules/p/19626404?productId=19626404&pps=12,2026-09-14,₹500–₹999
Oziva Advanced Hair Growth ActivesReduces Thinning Hair & Improves Scalp Coverage|Pure Plant Actives,Oziva,Healthcare,2099,1749,17,4.5,280,80,90 capsules,In Stock,https://www.nykaa.com/oziva-advanced-hair-growth-actives/p/16833065?productId=16833065&pps=13,2026-09-14,"₹1,000–₹1,999"
What's Up Wellness Night Burner Capsules,What's Up Wellness,Healthcare,699,599,14,4.2,66,4,30capsules,In Stock,https://www.nykaa.com/what-s-up-wellness-night-burner-capsules/p/24813938?productId=24813938&pps=14,2026-09-14,₹500–₹999
TruNativ Everyday Sweet 1:1 Sugar Replacer,TruNativ,Healthcare,299,200,33,4.6,226,25,150 g,In Stock,https://www.nykaa.com/trunativ-everyday-sweet-1-1-sugar-replacer/p/10931776?productId=10931776&pps=15,2026-09-14,Below ₹500
